feature,emotion,n,mean,std,median,min,max
tempo,Happy,15,140.65380916414463,37.539196321691584,123.046875,92.28515625,215.33203125
tempo,Angry,15,127.41465767164223,25.195524867157488,123.046875,80.74951171875,172.265625
tempo,Calm,15,128.28574343351275,30.402400321032026,135.99917763157896,71.77734375,172.265625
tempo,Sad,15,107.2611226203792,33.63113333563491,107.666015625,64.599609375,172.265625
rms_mean,Happy,15,0.04330941997468466,0.013996084803691588,0.0443888418376445,0.0269819982349872,0.0666737258434295
rms_mean,Angry,15,0.039369190856814354,0.013712980778503059,0.0385277047753334,0.0204409435391426,0.0774935707449913
rms_mean,Calm,15,0.052196471144755646,0.014858552495991979,0.0530897043645381,0.0333577208220958,0.0780382826924324
rms_mean,Sad,15,0.061357863744099884,0.01609766795363181,0.0576945692300796,0.0412667989730834,0.1086263507604599
rms_std,Happy,15,0.024408255144953674,0.011050421354971056,0.0198300071060657,0.0096764490008354,0.0475687831640243
rms_std,Angry,15,0.01867736428976054,0.007065018481057517,0.0164101477712392,0.0093986988067626,0.0325698219239711
rms_std,Calm,15,0.02777199540287251,0.00906362797126287,0.0286474246531724,0.012810225598514,0.0410641953349113
rms_std,Sad,15,0.030765478561321846,0.010945962248551818,0.0266487821936607,0.0159033592790365,0.0511236488819122
spectral_centroid_mean,Happy,15,725.5639276797334,198.10406378173747,726.5393811131713,499.2645503721288,1072.1525616756333
spectral_centroid_mean,Angry,15,764.896099854048,156.48492814232426,763.5366072205377,471.6560742741323,1049.912874760529
spectral_centroid_mean,Calm,15,640.6521913004083,108.21768197729257,615.5434557926164,412.786284233498,828.6055767517482
spectral_centroid_mean,Sad,15,676.1392206248979,111.62800911145442,668.7504784096877,474.08773560863705,865.5328975023372
spectral_rolloff_mean,Happy,15,1137.4566792332848,383.30022328767205,1134.0736850472383,667.0368709120639,1753.5038154069769
spectral_rolloff_mean,Angry,15,1275.355979742006,313.5603976254346,1309.1352879723838,628.6693768168604,1840.1791310864824
spectral_rolloff_mean,Calm,15,932.872331486192,143.3182123692012,906.5728901707848,621.6752589026163,1138.8226744186047
spectral_rolloff_mean,Sad,15,1059.968863553779,220.57824594757048,1079.4060569585756,675.5166129178779,1462.4466865007269
mfcc_1_mean,Happy,15,-392.7387268066406,48.20408232364901,-405.50140380859375,-469.6157836914063,-332.965087890625
mfcc_1_mean,Angry,15,-384.0666483561198,50.02025162940133,-368.3572387695313,-506.1282043457031,-326.4498596191406
mfcc_1_mean,Calm,15,-394.3031982421875,39.32072824807008,-391.1651306152344,-476.892578125,-339.4900817871094
mfcc_1_mean,Sad,15,-366.733203125,27.46881479956844,-364.0027465820313,-421.4028930664063,-327.7477722167969
