feature,emotion_1,emotion_2,U_statistic,raw_p,holm_p,significant
rms_mean,Happy,Angry,126.0,0.5897385933186072,0.5897385933186072,False
rms_mean,Happy,Calm,68.0,0.06799575043506911,0.20398725130520734,False
rms_mean,Happy,Sad,45.0,0.005452139856940547,0.027260699284702736,True
rms_mean,Angry,Calm,54.0,0.01614027989360373,0.06456111957441492,False
rms_mean,Angry,Sad,23.0,0.0002228932910846752,0.0013373597465080513,True
rms_mean,Calm,Sad,81.0,0.1985058531538877,0.3970117063077754,False
rms_std,Happy,Angry,149.0,0.13538211004560674,0.4994414399285867,False
rms_std,Happy,Calm,91.0,0.38373262766250305,0.7674652553250061,False
rms_std,Happy,Sad,75.0,0.12486035998214667,0.4994414399285867,False
rms_std,Angry,Calm,47.0,0.007016199234239618,0.03508099617119809,True
rms_std,Angry,Sad,40.0,0.0028226386759533724,0.016935832055720235,True
rms_std,Calm,Sad,98.0,0.5614474146848649,0.7674652553250061,False
spectral_rolloff_mean,Happy,Angry,89.0,0.3400858902842717,0.7364550036093727,False
spectral_rolloff_mean,Happy,Calm,141.0,0.24548500120312422,0.7364550036093727,False
spectral_rolloff_mean,Happy,Sad,122.0,0.7089232340537643,0.7364550036093727,False
spectral_rolloff_mean,Angry,Calm,195.0,0.0006709034051003711,0.004025420430602227,True
spectral_rolloff_mean,Angry,Sad,170.0,0.01806662299891238,0.0903331149945619,False
spectral_rolloff_mean,Calm,Sad,70.0,0.08149464839345506,0.32597859357382025,False
