feature,emotion,emopia_mean,emopia_std,musicgen_mean,musicgen_std
rms_mean,Happy,0.018019694064524194,0.00626857142884111,0.16822203745444617,0.02773812199914967
rms_mean,Angry,0.020400745969463955,0.007008461302024783,0.13591111749410628,0.03359063599561492
rms_mean,Calm,0.006908776379464608,0.0027540933131377835,0.13098489940166474,0.03108680175567781
rms_mean,Sad,0.007083364535056801,0.0032327401695443083,0.13610201328992844,0.035681093068409296
mfcc_1_mean,Happy,-439.3274521246189,54.54810888500897,-250.21319274902345,28.070220629713145
mfcc_1_mean,Angry,-418.2357747473191,55.294295814090276,-252.41065368652343,23.476786253302258
mfcc_1_mean,Calm,-551.6382529249469,44.490488630192075,-298.8240030924479,26.116079977985635
mfcc_1_mean,Sad,-556.7284594147573,54.88651309091525,-303.66435546875,30.301577082188206
rms_std,Happy,0.010250899210057318,0.0033786841480955257,0.06023649647831917,0.014085020611896053
rms_std,Angry,0.011195252380358579,0.003625229229928027,0.059990344196558,0.011149418718167834
rms_std,Calm,0.004512563377956309,0.0016050967264683073,0.05742925827701886,0.01069277670202214
rms_std,Sad,0.004820602220803331,0.0016536982290331704,0.05991583193341891,0.012389215682655483
mfcc_4_mean,Happy,23.04998605534798,4.642409632527523,-19.623177274068198,11.66991030000459
mfcc_4_mean,Angry,23.75108221819192,5.122774377679538,-10.352765015761058,6.762785541959743
mfcc_4_mean,Calm,16.13187467012687,4.747077988966979,-9.631255912780762,7.232622546842393
mfcc_4_mean,Sad,13.36546487381807,6.467431494600581,-7.310003217061361,8.712725336466676
mfcc_3_mean,Happy,-31.42381957100659,5.741838196335185,-17.107514802614848,26.103344990744468
mfcc_3_mean,Angry,-33.30966608809881,6.780694218685041,-7.37198985417684,13.521329094648816
mfcc_3_mean,Calm,-22.10057996619722,7.757598539161566,43.66773529052735,16.97772962274679
mfcc_3_mean,Sad,-20.661597199207947,9.346003946701297,38.29746160507202,23.579517183355936
mfcc_6_mean,Happy,-4.34694933149267,3.985856455825944,-14.100618227322895,9.589502344980371
mfcc_6_mean,Angry,-2.8825416340184584,3.724156110309287,-0.7704534098505974,9.610036248290958
mfcc_6_mean,Calm,-8.63038506814577,2.957541724535253,-4.176310237248739,6.023455588482562
mfcc_6_mean,Sad,-7.916422010881628,3.501149942604877,-4.310343582431475,6.82495140083579
